label,sampler,schedule_kind,blend,nfe,actual_nfe,eta,cfg,omega,anneal,omega_start,omega_end,FID,IS,IS_std,seconds
G2_n50_w1.0_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,1.0,0,1.0,1.0,34.45,6.73,0.2,89.5
G2_n50_w1.0_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,1.0,0,1.0,1.0,30.122,6.75,0.264,89.3
G2_n50_w1.0_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,1.0,0,1.0,1.0,30.77,6.608,0.255,89.4
G2_n50_w1.5_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,1.5,0,1.5,1.5,31.38,7.239,0.251,89.2
G2_n50_w1.5_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,1.5,0,1.5,1.5,27.788,7.253,0.283,89.4
G2_n50_w1.5_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,1.5,0,1.5,1.5,28.44,7.136,0.273,89.7
G2_n50_w2.0_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,2.0,0,2.0,2.0,31.335,7.553,0.262,90.0
G2_n50_w2.0_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,2.0,0,2.0,2.0,28.373,7.633,0.227,89.7
G2_n50_w2.0_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,2.0,0,2.0,2.0,28.935,7.49,0.368,89.6
G2_n50_w2.5_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,2.5,0,2.5,2.5,32.438,7.681,0.327,89.3
G2_n50_w2.5_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,2.5,0,2.5,2.5,31.126,7.762,0.237,89.7
G2_n50_w2.5_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,2.5,0,2.5,2.5,30.546,7.815,0.318,89.7
G2_n50_w3.0_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,3.0,0,3.0,3.0,33.949,7.846,0.332,89.7
G2_n50_w3.0_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,3.0,0,3.0,3.0,32.706,8.114,0.389,89.5
G2_n50_w3.0_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,3.0,0,3.0,3.0,33.029,7.943,0.305,89.4
