label,sampler,schedule_kind,blend,nfe,actual_nfe,eta,cfg,omega,anneal,omega_start,omega_end,FID,IS,IS_std,seconds
S_det_g2_n10,ddim,cosine,1.0,10,10,0.0,1.0,2.0,0,2.0,2.0,94.146,5.438,0.163,25.2
S_det_g2_n20,ddim,cosine,1.0,20,20,0.0,1.0,2.0,0,2.0,2.0,58.429,6.564,0.254,41.1
S_det_g2_n50,ddim,cosine,1.0,50,50,0.0,1.0,2.0,0,2.0,2.0,30.891,7.738,0.274,89.1
S_det_g2_n100,ddim,cosine,1.0,100,100,0.0,1.0,2.0,0,2.0,2.0,23.698,7.804,0.166,169.8
S_det_g2_n250,ddim,cosine,1.0,250,250,0.0,1.0,2.0,0,2.0,2.0,20.448,7.924,0.312,414.1
S_co1_n10,ddim,cosine,1.0,10,10,0.5,1.0,2.0,0,2.0,2.0,88.667,5.524,0.198,24.9
S_co1_n20,ddim,cosine,1.0,20,20,0.5,1.0,2.0,0,2.0,2.0,52.82,6.735,0.356,41.3
S_co1_n50,ddim,cosine,1.0,50,50,0.5,1.0,2.0,0,2.0,2.0,28.699,7.555,0.227,89.5
S_co1_n100,ddim,cosine,1.0,100,100,0.5,1.0,2.0,0,2.0,2.0,22.543,8.059,0.28,170.5
S_co1_n250,ddim,cosine,1.0,250,250,0.5,1.0,2.0,0,2.0,2.0,20.119,7.935,0.319,414.5
S_co2_n10,ddim,cosine,1.0,10,10,1.0,1.0,1.5,0,1.5,1.5,87.064,5.277,0.239,25.1
S_co2_n20,ddim,cosine,1.0,20,20,1.0,1.0,1.5,0,1.5,1.5,48.561,6.544,0.175,40.8
S_co2_n50,ddim,cosine,1.0,50,50,1.0,1.0,1.5,0,1.5,1.5,28.473,7.162,0.296,89.6
S_co2_n100,ddim,cosine,1.0,100,100,1.0,1.0,1.5,0,1.5,1.5,22.613,7.422,0.24,170.1
S_co2_n250,ddim,cosine,1.0,250,250,1.0,1.0,1.5,0,1.5,1.5,20.29,7.519,0.255,414.6
