label,sampler,schedule_kind,blend,nfe,actual_nfe,eta,cfg,omega,anneal,omega_start,omega_end,FID,IS,IS_std,seconds,model
G4T_n20_w1.0_e1.0,ddim,cosine,1.0,20,20,1.0,1.0,1.0,0,1.0,1.0,50.734,6.086,0.229,41.5,ema_final
G4T_n20_w1.5_e0.0,ddim,cosine,1.0,20,20,0.0,1.0,1.5,0,1.5,1.5,59.618,6.531,0.303,41.3,ema_final
G4T_n20_w1.5_e0.5,ddim,cosine,1.0,20,20,0.5,1.0,1.5,0,1.5,1.5,54.819,6.352,0.299,41.4,ema_final
G4T_n20_w1.5_e1.0,ddim,cosine,1.0,20,20,1.0,1.0,1.5,0,1.5,1.5,49.215,6.566,0.298,41.4,ema_final
G4T_n20_w2.0_e0.0,ddim,cosine,1.0,20,20,0.0,1.0,2.0,0,2.0,2.0,59.369,6.326,0.24,41.3,ema_final
G4T_n20_w2.0_e0.5,ddim,cosine,1.0,20,20,0.5,1.0,2.0,0,2.0,2.0,54.474,6.77,0.259,41.3,ema_final
G4T_n20_w2.0_e1.0,ddim,cosine,1.0,20,20,1.0,1.0,2.0,0,2.0,2.0,49.089,6.889,0.149,41.4,ema_final
G4T_n20_w3.0_e0.0,ddim,cosine,1.0,20,20,0.0,1.0,3.0,0,3.0,3.0,58.015,6.879,0.268,40.8,ema_final
G4T_n20_w3.0_e0.5,ddim,cosine,1.0,20,20,0.5,1.0,3.0,0,3.0,3.0,55.463,6.934,0.199,40.9,ema_final
G4T_n20_w3.0_e1.0,ddim,cosine,1.0,20,20,1.0,1.0,3.0,0,3.0,3.0,53.514,7.255,0.322,41.3,ema_final
G4T_n50_w0.5_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,0.5,0,0.5,0.5,41.376,6.156,0.087,89.7,ema_final
G4T_n50_w0.5_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,0.5,0,0.5,0.5,36.329,6.091,0.286,89.8,ema_final
G4T_n50_w0.5_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,0.5,0,0.5,0.5,38.976,5.682,0.261,89.6,ema_final
G4T_n50_w1.0_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,1.0,0,1.0,1.0,34.01,6.708,0.267,89.4,ema_final
G4T_n50_w1.0_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,1.0,0,1.0,1.0,30.182,6.783,0.278,89.7,ema_final
G4T_n50_w1.0_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,1.0,0,1.0,1.0,30.661,6.638,0.347,89.7,ema_final
G4T_n50_w1.5_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,1.5,0,1.5,1.5,31.815,7.126,0.183,89.6,ema_final
G4T_n50_w1.5_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,1.5,0,1.5,1.5,28.134,7.269,0.24,89.6,ema_final
G4T_n50_w1.5_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,1.5,0,1.5,1.5,27.801,7.25,0.19,90.0,ema_final
G4T_n50_w2.0_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,2.0,0,2.0,2.0,31.281,7.739,0.319,89.2,ema_final
G4T_n50_w2.0_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,2.0,0,2.0,2.0,28.266,7.687,0.355,89.4,ema_final
G4T_n50_w2.0_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,2.0,0,2.0,2.0,28.89,7.442,0.292,89.4,ema_final
G4T_n50_w3.0_e0.0,ddim,cosine,1.0,50,50,0.0,1.0,3.0,0,3.0,3.0,34.391,7.849,0.37,89.4,ema_final
G4T_n50_w3.0_e0.5,ddim,cosine,1.0,50,50,0.5,1.0,3.0,0,3.0,3.0,32.317,7.847,0.371,89.6,ema_final
G4T_n50_w3.0_e1.0,ddim,cosine,1.0,50,50,1.0,1.0,3.0,0,3.0,3.0,33.039,7.892,0.282,89.4,ema_final
